standard_property_name,possible_table_name,parent_table_name,node_name,node_category,node_subpart_type,asset_class
remarks,COOLING OR HEATING PIPING,,construction_accessories,primary_equipments,asset,pump
supply_pressure,COOLING OR HEATING PIPING,,construction_accessories,primary_equipments,asset,pump
cooling_water_chloride_concentration,COOLING WATER,SITE AND UTILITY DATA,process_fluids,primary_equipments,asset,pump
cooling_water_chloride_concentration,COOLING WATER,SITE AND UTILITY DATA,process_fluids,primary_equipments,asset,pump
cooling_water_pressure_minimum,COOLING WATER,SITE AND UTILITY DATA,process_fluids,primary_equipments,asset,pump
cooling_water_source,COOLING WATER,SITE AND UTILITY DATA,process_fluids,primary_equipments,asset,pump
cooling_water_temperature_maximum,COOLING WATER,SITE AND UTILITY DATA,process_fluids,primary_equipments,asset,pump
instrument_air_pressure_maximum,COOLING WATER,SITE AND UTILITY DATA,process_fluids,primary_equipments,asset,pump
instrument_air_pressure_minimum,COOLING WATER,SITE AND UTILITY DATA,process_fluids,primary_equipments,asset,pump
pressure,COOLING WATER,SITE AND UTILITY DATA,process_fluids,primary_equipments,asset,pump
pressure,COOLING WATER,SITE AND UTILITY DATA,process_fluids,primary_equipments,asset,pump
pressure,COOLING WATER,SITE AND UTILITY DATA,process_fluids,primary_equipments,asset,pump
pressure,COOLING WATER,SITE AND UTILITY DATA,process_fluids,primary_equipments,asset,pump
source,COOLING WATER,SITE AND UTILITY DATA,process_fluids,primary_equipments,asset,pump
source,COOLING WATER,SITE AND UTILITY DATA,process_fluids,primary_equipments,asset,pump
temperature,COOLING WATER,SITE AND UTILITY DATA,process_fluids,primary_equipments,asset,pump
temperature,COOLING WATER,SITE AND UTILITY DATA,process_fluids,primary_equipments,asset,pump
temperature,COOLING WATER,SITE AND UTILITY DATA,process_fluids,primary_equipments,asset,pump
coupling_balanced_to_iso_1940_1_g6_3,COUPLING,CONSTRUCTION,construction_accessories,primary_equipments,asset,pump
coupling_balanced_to_iso_1940_1_g6_3_7_2_3,COUPLING,CONSTRUCTION,construction_accessories,primary_equipments,asset,pump
coupling_balanced_to_iso_1940_1_g6_3_7_2_3,COUPLING,,construction_accessories,primary_equipments,asset,pump
coupling_guard_standard_per,COUPLING,CONSTRUCTION,construction_accessories,primary_equipments,asset,pump
coupling_guard_standard_per_7_2_13_a,COUPLING,CONSTRUCTION,construction_accessories,primary_equipments,asset,pump
coupling_guard_standard_per_7_2_13_a,COUPLING,,construction_accessories,primary_equipments,asset,pump
coupling_in_compliance_with,COUPLING,CONSTRUCTION,construction_accessories,primary_equipments,asset,pump
coupling_in_compliance_with_7_2_4,COUPLING,,construction_accessories,primary_equipments,asset,pump
coupling_in_compliance_with_7_2_4,COUPLING,CONSTRUCTION,construction_accessories,primary_equipments,asset,pump
coupling_with_hydraulic_fit,COUPLING,CONSTRUCTION,construction_accessories,primary_equipments,asset,pump
coupling_with_hydraulic_fit_7_2_10,COUPLING,CONSTRUCTION,construction_accessories,primary_equipments,asset,pump
coupling_with_hydraulic_fit_7_2_10,COUPLING,,construction_accessories,primary_equipments,asset,pump
coupling_with_proprietary_clamping_device,COUPLING,CONSTRUCTION,construction_accessories,primary_equipments,asset,pump
coupling_with_proprietary_clamping_device_7_2_11,COUPLING,,construction_accessories,primary_equipments,asset,pump
coupling_with_proprietary_clamping_device_7_2_11,COUPLING,CONSTRUCTION,construction_accessories,primary_equipments,asset,pump
manufacturer,COUPLING,,construction_accessories,primary_equipments,asset,pump
manufacturer,COUPLING,CONSTRUCTION,construction_accessories,primary_equipments,asset,pump
model,COUPLING,CONSTRUCTION,construction_accessories,primary_equipments,asset,pump
model,COUPLING,,construction_accessories,primary_equipments,asset,pump
rating_power_per_100_rpm,COUPLING,,construction_accessories,primary_equipments,asset,pump
rating_power_per_100_rpm,COUPLING,CONSTRUCTION,construction_accessories,primary_equipments,asset,pump
rigid,COUPLING,CONSTRUCTION,construction_accessories,primary_equipments,asset,pump
rigid,COUPLING,,construction_accessories,primary_equipments,asset,pump
service_factor,COUPLING,,construction_accessories,primary_equipments,asset,pump
service_factor,COUPLING,CONSTRUCTION,construction_accessories,primary_equipments,asset,pump
spacer_length,COUPLING,CONSTRUCTION,construction_accessories,primary_equipments,asset,pump
spacer_length,COUPLING,,construction_accessories,primary_equipments,asset,pump
window_on_coupling_guard,COUPLING,CONSTRUCTION,construction_accessories,primary_equipments,asset,pump
window_on_coupling_guard,COUPLING,,construction_accessories,primary_equipments,asset,pump
window_on_coupling_guard_3_8_perforated,COUPLING,CONSTRUCTION,construction_accessories,primary_equipments,asset,pump
coupling_guard_type_baseplate_mounted,COUPLING BETWEEN OUMP AND RIVER,,construction_accessories,primary_equipments,asset,pump
coupling_guard_type_manufacturers_standard,COUPLING BETWEEN OUMP AND RIVER,,construction_accessories,primary_equipments,asset,pump
coupling_guard_type_non_spark_coupling_guard_required,COUPLING BETWEEN OUMP AND RIVER,,construction_accessories,primary_equipments,asset,pump
manufacturer,COUPLING BETWEEN OUMP AND RIVER,,construction_accessories,primary_equipments,asset,pump
model,COUPLING BETWEEN OUMP AND RIVER,,construction_accessories,primary_equipments,asset,pump
remarks,COUPLING BETWEEN OUMP AND RIVER,,construction_accessories,primary_equipments,asset,pump
size,COUPLING BETWEEN OUMP AND RIVER,,construction_accessories,primary_equipments,asset,pump
spacer_length,COUPLING BETWEEN OUMP AND RIVER,,construction_accessories,primary_equipments,asset,pump
type,COUPLING BETWEEN OUMP AND RIVER,,construction_accessories,primary_equipments,asset,pump
coupling_guard_type_baseplate_mounted,COUPLING BETWEEN PUMP AND DRIVER,,construction_accessories,primary_equipments,asset,pump
coupling_guard_type_baseplate_mounted,COUPLING BETWEEN PUMP AND DRIVER,,construction_accessories,primary_equipments,asset,pump
coupling_guard_type_manufacturers_standard,COUPLING BETWEEN PUMP AND DRIVER,,construction_accessories,primary_equipments,asset,pump
coupling_guard_type_manufacturers_standard,COUPLING BETWEEN PUMP AND DRIVER,,construction_accessories,primary_equipments,asset,pump
coupling_guard_type_non_spark_coupling_guard_required,COUPLING BETWEEN PUMP AND DRIVER,,construction_accessories,primary_equipments,asset,pump
coupling_guard_type_non_spark_coupling_guard_required,COUPLING BETWEEN PUMP AND DRIVER,,construction_accessories,primary_equipments,asset,pump
manufacturer,COUPLING BETWEEN PUMP AND DRIVER,,construction_accessories,primary_equipments,asset,pump
manufacturer,COUPLING BETWEEN PUMP AND DRIVER,,construction_accessories,primary_equipments,asset,pump
model,COUPLING BETWEEN PUMP AND DRIVER,,construction_accessories,primary_equipments,asset,pump
model,COUPLING BETWEEN PUMP AND DRIVER,,construction_accessories,primary_equipments,asset,pump
remarks,COUPLING BETWEEN PUMP AND DRIVER,,construction_accessories,primary_equipments,asset,pump
remarks,COUPLING BETWEEN PUMP AND DRIVER,,construction_accessories,primary_equipments,asset,pump
size,COUPLING BETWEEN PUMP AND DRIVER,,construction_accessories,primary_equipments,asset,pump
size,COUPLING BETWEEN PUMP AND DRIVER,,construction_accessories,primary_equipments,asset,pump
spacer_length,COUPLING BETWEEN PUMP AND DRIVER,,construction_accessories,primary_equipments,asset,pump
spacer_length,COUPLING BETWEEN PUMP AND DRIVER,,construction_accessories,primary_equipments,asset,pump
type,COUPLING BETWEEN PUMP AND DRIVER,,construction_accessories,primary_equipments,asset,pump
type,COUPLING BETWEEN PUMP AND DRIVER,,construction_accessories,primary_equipments,asset,pump
reference_code,CYCLONE SEPARATOR,SEAL AUXILIARY SYSTEM,equipments,auxiliary_equipments,seal_auxiliary_system,pump
supplier,CYCLONE SEPARATOR,SEAL AUXILIARY SYSTEM,equipments,auxiliary_equipments,seal_auxiliary_system,pump
supplier_reference_code,CYCLONE SEPARATOR,SEAL AUXILIARY SYSTEM,equipments,auxiliary_equipments,seal_auxiliary_system,pump
supplier_reference_code,CYCLONE SEPARATOR,SEAL AUXILIARY SYSTEM,equipments,auxiliary_equipments,seal_auxiliary_system,pump
supplier_reference_code,CYCLONE SEPARATOR,SEAL AUXILIARY SYSTEM,equipments,auxiliary_equipments,seal_auxiliary_system,pump
supplier_reference_code,CYCLONE SEPARATOR,SEAL AUXILIARY SYSTEM,equipments,auxiliary_equipments,seal_auxiliary_system,pump
supplier_reference_code,CYCLONE SEPERATOR,SEAL AUXILIARY SYSTEM,equipments,auxiliary_equipments,seal_auxiliary_system,pump
supplier_reference_code,CYCLONE SEPERATOR,SEAL AUXILIARY SYSTEM,equipments,auxiliary_equipments,seal_auxiliary_system,pump
supplier_reference_code,CYCLONE SEPERATOR,SEAL AUXILIARY SYSTEM,equipments,auxiliary_equipments,seal_auxiliary_system,pump
api_standard,DESCRIPTION,,meta_data,primary_equipments,asset,pump
applicable_national_international_standard,DESCRIPTION,,meta_data,primary_equipments,asset,pump
applicable_national_international_standard,DESCRIPTION,,meta_data,primary_equipments,asset,pump
applicable_national_international_standard,DESCRIPTION,,meta_data,primary_equipments,asset,pump
applicable_national_international_standard,DESCRIPTION,,meta_data,primary_equipments,asset,pump
applicable_national_or_international_standard,DESCRIPTION,,meta_data,primary_equipments,asset,pump
applicable_ntl_international_standard,DESCRIPTION,,meta_data,primary_equipments,asset,pump
applicable_ntl_intntl_standard,DESCRIPTION,,meta_data,primary_equipments,asset,pump
applicable_ntl_or_intnl_standard,DESCRIPTION,,meta_data,primary_equipments,asset,pump
applicable_ntl_or_intntl_standard,DESCRIPTION,,meta_data,primary_equipments,asset,pump
applicable_to,DESCRIPTION,,meta_data,primary_equipments,asset,pump
applicable_to_as_built,DESCRIPTION,,meta_data,primary_equipments,asset,pump
applicable_to_proposal,DESCRIPTION,,meta_data,primary_equipments,asset,pump
applicable_to_purchase,DESCRIPTION,,meta_data,primary_equipments,asset,pump
by_manufacturer,DESCRIPTION,,meta_data,primary_equipments,asset,pump
by_purchaser_or_manufacturer,DESCRIPTION,,meta_data,primary_equipments,asset,pump
certified_by,DESCRIPTION,,meta_data,primary_equipments,asset,pump
corporate_name,DESCRIPTION,,meta_data,primary_equipments,asset,pump
corporate_name_,DESCRIPTION,,meta_data,primary_equipments,asset,pump
corporate_name_and_site,DESCRIPTION,,meta_data,primary_equipments,asset,pump
data_provided_by_purchaser,DESCRIPTION,,meta_data,primary_equipments,asset,pump
data_provided_by_supplier,DESCRIPTION,,meta_data,primary_equipments,asset,pump
