client_property_name,standard_property_name,possible_table_name,parent_table_name,,node_name,node_category,node_subpart_type,asset_class,reasoning,used_tool,,,,,,,,Document Name
Header Type,header_type,DESIGN MATERIAL AND CONSTRUCTION,,,construction_accessories,primary_equipments,,heat_exchanger_air_cooled,,,,,,,,,,BCEP-CE-SE-S000E3303_2.pdf
"Heating Coil ASME Code, Sec. VIII, Div. 1",heating_coil_asme_code_section_viii_division_1,DESIGN MATERIAL AND CONSTRUCTION,,,construction_accessories,primary_equipments,,heat_exchanger_air_cooled,,,,,,,,,,BCEP-CE-SE-S000E3303_2.pdf
Heating Coil Design pressure,heating_coil_design_pressure,DESIGN MATERIAL AND CONSTRUCTION,,,construction_accessories,primary_equipments,,heat_exchanger_air_cooled,,,,,,,,,,BCEP-CE-SE-S000E3303_2.pdf
Heating Coil Design temperature,heating_coil_design_temperature,DESIGN MATERIAL AND CONSTRUCTION,,,construction_accessories,primary_equipments,,heat_exchanger_air_cooled,,,,,,,,,,BCEP-CE-SE-S000E3303_2.pdf
Heating Coil Fin material and type,heating_coil_fin_material_and_type,DESIGN MATERIAL AND CONSTRUCTION,,,construction_accessories,primary_equipments,,heat_exchanger_air_cooled,,,,,,,,,,BCEP-CE-SE-S000E3303_2.pdf
Heating Coil Fin thickness,heating_coil_fin_thickness,DESIGN MATERIAL AND CONSTRUCTION,,,construction_accessories,primary_equipments,,heat_exchanger_air_cooled,,,,,,,,,,BCEP-CE-SE-S000E3303_2.pdf
Heating Coil Heating fluid,heating_coil_heating_fluid,DESIGN MATERIAL AND CONSTRUCTION,,,construction_accessories,primary_equipments,,heat_exchanger_air_cooled,,,,,,,,,,BCEP-CE-SE-S000E3303_2.pdf
Heating Coil Heating fluid flow rate,heating_coil_heating_fluid_flow_rate,DESIGN MATERIAL AND CONSTRUCTION,,,construction_accessories,primary_equipments,,heat_exchanger_air_cooled,,,,,,,,,,BCEP-CE-SE-S000E3303_2.pdf
Heating Coil Inlet nozzle,heating_coil_inlet_nozzle,DESIGN MATERIAL AND CONSTRUCTION,,,construction_accessories,primary_equipments,,heat_exchanger_air_cooled,,,,,,,,,,BCEP-CE-SE-S000E3303_2.pdf
Heating Coil Inlet pressure,heating_coil_inlet_pressure,DESIGN MATERIAL AND CONSTRUCTION,,,construction_accessories,primary_equipments,,heat_exchanger_air_cooled,,,,,,,,,,BCEP-CE-SE-S000E3303_2.pdf
